TminJJA_mean_69_45	TminJFM_mean_65_45	TminJFM_mean_54_45
-42.8	-10.0	3.3
-46.5	-15.9	3.3
-34.4	-2.7	3.2
-45.8	-5.4	3.5
-47.2	-10.8	2.9
-44.5	-4.9	2.8
-41.7	-2.9	3.2
-42.6	-8.1	3.3
-45.5	-5.4	2.0
-41.1	-3.4	3.1
-41.1	-15.9	2.9
-42.2	-7.9	3.7
-44.7	-12.9	3.3
-49.2	-15.9	2.3
-42.0	-8.7	2.6
-44.2	-14.9	2.8
-48.1	-13.6	3.3
-41.3	-11.1	2.9
-45.6	-13.2	3.1
-35.0	-19.4	2.8
-41.5	-2.8	2.5
-37.5	-3.9	3.5
-38.3	-15.5	1.5
-41.7	-3.1	2.9
-42.0	-14.9	3.2
-45.0	-20.3	2.7
-44.1	-10.6	3.4
-42.9	-4.0	3.5
-37.4	-6.2	2.2
-36.8	-21.6	2.2
-32.7	-6.8	2.9
-31.0	-23.1	1.6
-40.5	-3.0	3.7
-42.8	-15.5	1.9
-37.1	-19.4	2.0
-43.0	-25.2	2.1
-39.1	-25.6	2.0
-35.3	-8.3	2.1
-43.8	-9.6	1.5
-34.8	-12.3	3.1
-37.9	-11.7	2.0
-37.9	-12.6	3.2

