TminSO_mean_69_60	TmaxFM_mean_65_60	TmaxJAS_mean_60_60	TminDJ_mean_54_60
-36.7	1.2	3.0	4.9
-43.4	0.9	1.8	6.1
-50.3	1.1	2.4	5.0
-42.2	1.0	2.6	5.9
-42.6	0.6	2.6	6.7
-49.0	0.9	1.8	5.0
-44.0	0.6	2.1	5.8
-39.6	1.3	2.7	4.9
-42.0	1.2	1.3	4.9
-36.2	1.4	1.7	4.9
-31.2	1.3	2.4	5.7
-38.4	1.4	2.1	5.2
-36.7	0.4	2.3	5.2
-41.1	0.8	2.3	6.3
-39.9	1.0	2.7	5.4
-43.1	1.0	2.0	5.7
-41.9	1.4	1.3	5.4
-42.4	1.1	2.4	5.1
-39.8	1.2	2.3	5.2
-42.2	1.6	2.4	4.7
-35.9	1.1	2.6	4.6
-27.4	1.6	1.7	5.1
-27.8	1.2	2.4	5.8
-31.2	0.7	1.7	5.9
-31.2	1.4	3.1	4.5
-26.9	1.6	2.3	4.6
-26.8	1.6	1.8	3.9
-29.3	1.0	1.4	6.5
-32.9	1.2	2.0	4.5
-26.7	1.3	1.9	4.5
-36.2	0.6	1.6	4.1
-31.4	1.1	2.1	4.7
-31.7	1.2	1.2	5.5
-40.5	1.6	2.1	4.3
-40.5	1.7	1.2	4.0
-33.8	1.2	1.4	3.5
-41.1	1.5	1.1	4.0
-30.0	1.3	1.3	3.8
-41.5	1.5	2.1	4.7
-41.4	1.4	1.9	4.6
-39.9	1.3	1.5	4.9
-39.6	1.6	1.3	5.3

